object_type,schema,object_name,details
function,public,admin_deliver_inventory_item,"p_order_id uuid, p_order_item_id uuid, p_inventory_id uuid, p_note text"
function,public,admin_disable_digital_inventory,"p_inventory_id uuid, p_remark text"
function,public,admin_disable_digital_inventory_batch,"p_batch_id uuid, p_reason text"
function,public,admin_import_digital_inventory,"p_product_id uuid, p_contents text[], p_batch_no text, p_remark text, p_expires_at timestamp with time zone"
function,public,admin_list_digital_inventory_batches,"p_search text, p_status text, p_page integer, p_page_size integer"
function,public,admin_list_digital_inventory_items,"p_product_id uuid, p_batch_no text, p_status text, p_page integer, p_page_size integer"
function,public,admin_list_digital_inventory_summary,"p_search text, p_status text, p_page integer, p_page_size integer"
function,public,admin_restore_digital_inventory_item,"p_inventory_id uuid, p_reason text"
function,public,expire_unpaid_order,"p_order_id uuid, p_reason text"
function,public,refresh_digital_inventory_batch_counts,p_batch_id uuid
function,public,release_order_inventory,p_order_id uuid
function,public,release_order_inventory,"p_order_id uuid, p_reason text"
index,auth,webauthn_challenges_expires_at_idx,CREATE INDEX webauthn_challenges_expires_at_idx ON auth.webauthn_challenges USING btree (expires_at)
index,public,digital_inventory_batch_id_idx,CREATE INDEX digital_inventory_batch_id_idx ON public.digital_inventory USING btree (batch_id) WHERE (batch_id IS NOT NULL)
index,public,digital_inventory_batch_idx,CREATE INDEX digital_inventory_batch_idx ON public.digital_inventory USING btree (batch_no) WHERE (batch_no IS NOT NULL)
index,public,digital_inventory_batches_batch_no_key,CREATE UNIQUE INDEX digital_inventory_batches_batch_no_key ON public.digital_inventory_batches USING btree (batch_no)
index,public,digital_inventory_batches_pkey,CREATE UNIQUE INDEX digital_inventory_batches_pkey ON public.digital_inventory_batches USING btree (id)
index,public,digital_inventory_batches_product_idx,"CREATE INDEX digital_inventory_batches_product_idx ON public.digital_inventory_batches USING btree (product_id, created_at DESC)"
index,public,digital_inventory_batches_product_sku_idx,"CREATE INDEX digital_inventory_batches_product_sku_idx ON public.digital_inventory_batches USING btree (product_id, sku_id, created_at DESC)"
index,public,digital_inventory_batches_status_idx,"CREATE INDEX digital_inventory_batches_status_idx ON public.digital_inventory_batches USING btree (import_status, created_at DESC)"
index,public,digital_inventory_content_hash_idx,"CREATE INDEX digital_inventory_content_hash_idx ON public.digital_inventory USING btree (product_id, content_hash) WHERE (content_hash IS NOT NULL)"
index,public,digital_inventory_content_type_idx,"CREATE INDEX digital_inventory_content_type_idx ON public.digital_inventory USING btree (content_type, status)"
index,public,digital_inventory_delivered_order_idx,CREATE INDEX digital_inventory_delivered_order_idx ON public.digital_inventory USING btree (delivered_order_id) WHERE (delivered_order_id IS NOT NULL)
index,public,digital_inventory_delivered_order_item_idx,"CREATE INDEX digital_inventory_delivered_order_item_idx ON public.digital_inventory USING btree (delivered_order_id, delivered_order_item_id) WHERE (delivered_order_id IS NOT NULL)"
index,public,digital_inventory_delivered_user_idx,CREATE INDEX digital_inventory_delivered_user_idx ON public.digital_inventory USING btree (delivered_user_id) WHERE (delivered_user_id IS NOT NULL)
index,public,digital_inventory_order_idx,CREATE INDEX digital_inventory_order_idx ON public.digital_inventory USING btree (order_id) WHERE (order_id IS NOT NULL)
index,public,digital_inventory_pkey,CREATE UNIQUE INDEX digital_inventory_pkey ON public.digital_inventory USING btree (id)
index,public,digital_inventory_product_content_uidx,"CREATE UNIQUE INDEX digital_inventory_product_content_uidx ON public.digital_inventory USING btree (product_id, md5(content))"
index,public,digital_inventory_product_sku_status_idx,"CREATE INDEX digital_inventory_product_sku_status_idx ON public.digital_inventory USING btree (product_id, sku_id, status, updated_at DESC)"
index,public,digital_inventory_product_status_idx,"CREATE INDEX digital_inventory_product_status_idx ON public.digital_inventory USING btree (product_id, status, updated_at DESC)"
index,public,digital_inventory_reserved_order_idx,CREATE INDEX digital_inventory_reserved_order_idx ON public.digital_inventory USING btree (reserved_order_id) WHERE (reserved_order_id IS NOT NULL)
index,public,digital_inventory_reserved_order_item_idx,"CREATE INDEX digital_inventory_reserved_order_item_idx ON public.digital_inventory USING btree (reserved_order_id, reserved_order_item_id) WHERE (reserved_order_id IS NOT NULL)"
index,public,order_deliveries_delivered_inventory_uidx,CREATE UNIQUE INDEX order_deliveries_delivered_inventory_uidx ON public.order_deliveries USING btree (inventory_id) WHERE ((inventory_id IS NOT NULL) AND (delivery_status = 'delivered'::text))
index,public,order_deliveries_inventory_idx,CREATE INDEX order_deliveries_inventory_idx ON public.order_deliveries USING btree (inventory_id) WHERE (inventory_id IS NOT NULL)
index,public,orders_unpaid_expiration_idx,"CREATE INDEX orders_unpaid_expiration_idx ON public.orders USING btree (payment_expires_at, status, payment_status) WHERE ((payment_expires_at IS NOT NULL) AND (status = 'pending_payment'::text) AND (payment_status <> 'paid'::text))"
table,public,digital_inventory,relkind=r
table,public,digital_inventory_batches,relkind=r
trigger,public,digital_inventory_batches_set_updated_at,public.digital_inventory_batches
trigger,public,digital_inventory_set_updated_at,public.digital_inventory
